variant,fixture,regime,session,query,label,n_block,cos_top1,cos_top2,cos_margin,fused_top1,fused_top2,fused_margin,entropy,bm25_top1_raw,bm25_best_text,bm25_hits,vector_top1_is_text_top1,subject_key,subject_competitors,subject_distinctive,subject_query_overlap,subject_min_df,subject_admits,query_chars,query_tokens,query_is_question,query_first_word,live_facts,stored_facts,n_subjects,session_span_s,gate_open,top1_fact
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the name of the current head of the Italy government?,hard_negative,12,0.642772853374481,0.632202744483948,0.010570108890533003,0.49444065644190843,0.4863098034491907,0.008130852992717708,2.481066597499263,0.0,2.375,48,False,capital italy,4,1,1,1,True,61,12,True,what,150,219,150,0.0,True,The capital of Italy is Rome.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who performed Meredith Grey?,hard_negative,12,0.5859301686286931,0.46065640449523904,0.12527376413345404,0.5859301686286931,0.41509697987483074,0.17083318875386233,2.4602315259550718,14.0,14.0,7,True,derek shepherd spouse,7,2,0,1,False,28,4,True,who,150,219,150,0.0,True,Derek Shepherd is married to Meredith Grey.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What position does Robert Parish play?,hard_negative,12,0.540461242198944,0.530642330646515,0.009818911552428977,0.540461242198944,0.530642330646515,0.009818911552428977,2.4790939604121864,7.0,7.0,10,False,hines plays position ward,5,2,0,1,False,38,6,True,what,150,219,150,0.0,False,Hines Ward plays the position of cornerback.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the country of citizenship of Cédric Klapisch?,positive,12,0.917922854423523,0.85370272397995,0.064220130443573,0.70609450340271,0.6566944030615,0.04940010034121001,2.4465152264407797,0.0,11.0,48,False,citizenship cédric klapisch,15,2,2,1,True,54,9,True,what,150,219,150,0.0,True,Cédric Klapisch is a citizen of France.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the author of Sidereus Nuncius?,positive,12,0.816733360290527,0.723458290100098,0.09327507019042902,0.6282564309927131,0.5565063770000753,0.07175005399263779,2.4640998325364643,0.0,1.75,48,False,author nuncius sidereus,6,2,2,1,True,38,7,True,who,150,219,150,0.0,True,The author of Sidereus Nuncius is Galileo Galilei.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which continent is Germany located in?,hard_negative,12,0.5834498405456541,0.510698080062866,0.07275176048278809,0.5834498405456541,0.510698080062866,0.07275176048278809,2.4745712507643316,4.75,4.75,48,False,continent located malaysia,3,1,0,1,False,38,6,True,which,150,219,150,0.0,False,Malaysia is located in the continent of Asia.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which religion is Kingdom of Ireland affiliated with?,positive,12,0.892423868179321,0.819624960422516,0.07279890775680498,0.6864798985994777,0.6304807387865508,0.05599915981292691,2.4647241033992233,0.0,2.42857142857143,48,False,ireland kingdom religion,6,2,2,1,True,53,8,True,which,150,219,150,0.0,True,Kingdom of Ireland is affiliated with the religion of Catholic Church.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which country was association football created in?,hard_negative,12,0.6903785467147829,0.649594485759735,0.04078406095504794,0.6903785467147829,0.649594485759735,0.04078406095504794,2.475286635622827,9.0,9.0,48,False,associated firm new sport,14,2,0,1,False,50,7,True,which,150,219,150,0.0,False,New Firm is associated with the sport of association football.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the developer of Windows Phone?,hard_negative,12,0.595671951770782,0.5892184972763059,0.006453454494476096,0.5171218042845251,0.4532449979048507,0.06387680637967447,2.466441812633382,0.428571428571429,1.0,48,False,chief executive microsoft officer,2,1,0,1,False,38,7,True,who,150,219,150,0.0,False,The chief executive officer of Microsoft is Steve Jobs.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the chief executive officer of Microsoft?,positive,12,0.9049134254455566,0.8644669651985171,0.04044646024703957,0.9049134254455568,0.6649745886142439,0.2399388368313129,2.417617313607273,5.83333333333333,5.83333333333333,48,True,chief executive microsoft officer,2,1,1,1,True,48,8,True,who,150,219,150,0.0,True,The chief executive officer of Microsoft is Steve Jobs.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the chairperson of Harvard University?,positive,12,0.8815072178840639,0.860125005245209,0.02138221263885498,0.6780824752954338,0.6616346194193915,0.01644785587604225,2.4522673016815153,0.0,2.5,48,False,chairperson harvard university,12,2,2,1,True,45,7,True,who,150,219,150,0.0,True,The chairperson of Harvard University is Lawrence S. Bacow.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who founded Church of Scotland?,positive,12,0.853563666343689,0.648050725460052,0.20551294088363692,0.6565874356489915,0.6293569545333196,0.027230481115671834,2.4625511115476586,0.0,8.0,48,False,church founder scotland,7,2,2,1,True,31,5,True,who,150,219,150,0.0,True,Church of Scotland was founded by John Knox.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is Galwegians RFC associated with?,hard_negative,12,0.674649477005005,0.582076847553253,0.09257262945175204,0.5189611361576961,0.44775142119480993,0.0712097149628862,2.479794924591904,0.0,3.25,48,False,associated gala rfc sport,14,2,1,1,True,46,7,True,which,150,219,150,0.0,True,Gala RFC is associated with the sport of rugby union.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the director of American Broadcasting Company?,positive,12,0.830074608325958,0.826837778091431,0.0032368302345270328,0.7502597421407696,0.6360290600703316,0.11423068207043807,2.448460838098215,5.83333333333333,10.0,48,False,american broadcasting company director,5,2,2,1,True,53,8,True,who,150,219,150,0.0,True,The director of American Broadcasting Company is Ernst Heinkel.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which city did Gennady Rozhdestvensky die in?,hard_negative,12,0.4985431432724,0.489166378974915,0.009376764297485018,0.4985431432724,0.48916637897491494,0.009376764297485074,2.4805623300237447,4.0,4.0,48,False,city died frank zappa,14,2,0,2,False,45,7,True,which,150,219,150,0.0,True,Frank Zappa died in the city of Berlin.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the capital of Tang Empire?,positive,12,0.9108247756958008,0.812897384166718,0.09792739152908281,0.9108247756958007,0.812897384166718,0.0979273915290827,2.41530456724917,6.0,6.0,48,True,capital empire tang,5,2,2,1,True,35,7,True,what,150,219,150,0.0,True,The capital of Tang Empire is Chang'an.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the director of British Broadcasting Corporation?,positive,12,0.849072396755219,0.8455520868301389,0.003520309925080012,0.8490723967552191,0.65042468217703,0.19864771457818908,2.438127106111615,3.33333333333333,3.33333333333333,48,True,british broadcasting corporation director,2,3,3,1,True,56,8,True,who,150,219,150,0.0,True,"The director of British Broadcasting Corporation is Tony Hall, Baron Hall of Birkenhead."
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the country of citizenship of Benjamin Mazar?,hard_negative,12,0.524487435817719,0.508409559726715,0.016077876091003973,0.40345187370593766,0.39108427671285767,0.012367596993079988,2.483297487533599,0.0,11.0,48,False,charles citizenship messier,16,2,0,1,False,53,9,True,what,150,219,150,0.0,False,Charles Messier is a citizen of Iran.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What type of music does Michael Mantler play?,hard_negative,12,0.402495741844177,0.391895055770874,0.010600686073303,0.36534228875086827,0.3557201275458702,0.009622161204998092,2.4838481617206356,1.0,1.66666666666667,48,False,citizenship elton john,17,1,0,1,False,45,8,True,what,150,219,150,0.0,True,Elton John is a citizen of United Kingdom.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which city did Oscar Wilde die in?,hard_negative,12,0.625357687473297,0.6071071028709409,0.018250584602356068,0.625357687473297,0.4936914902466992,0.13166619722659778,2.4727852217481963,21.0,21.0,48,True,author fan lady windermere,6,3,0,1,False,34,7,True,which,150,219,150,0.0,True,The author of Lady Windermere's Fan is Oscar Wilde.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which country was baseball created in?,hard_negative,12,0.669218897819519,0.568816542625427,0.10040235519409202,0.5920013326864975,0.568816542625427,0.023184790061070437,2.4788515338728034,5.0,10.0,48,False,country created cricket,8,1,0,1,False,38,6,True,which,150,219,150,0.0,False,cricket was created in the country of Australia.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the country of citizenship of Ernst Heinkel?,hard_negative,12,0.640355587005615,0.603903472423553,0.03645211458206199,0.5228077956846542,0.46454113263350233,0.05826666305115186,2.4774648086282056,2.25,11.0,48,False,american broadcasting company director,5,2,0,1,False,52,9,True,what,150,219,150,0.0,False,The director of American Broadcasting Company is Ernst Heinkel.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which city is the headquarter of The University of the Arts located in?,positive,12,0.8021115660667419,0.678622901439667,0.12348866462707497,0.7935683659547885,0.5220176164920515,0.27155074946273705,2.463205259951142,3.1,3.25,48,False,arts headquarters university,11,1,1,1,True,71,13,True,which,150,219,150,0.0,True,The headquarters of The University of the Arts is located in the city of Philadelphia.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which country was rap rock created in?,positive,12,0.864254057407379,0.775466501712799,0.08878755569458008,0.6648108133902916,0.59651269362523,0.06829811976506162,2.467611598353581,0.0,8.0,48,False,country created rap rock,8,2,2,1,True,38,7,True,which,150,219,150,0.0,True,rap rock was created in the country of United States of America.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the official language of United States of America?,positive,12,0.848353147506714,0.9014919996261597,-0.05313885211944569,0.6992980927437336,0.6934553843278151,0.005842708415918496,2.4701892677457225,2.625,11.0,48,False,america language official states united,13,2,2,2,True,58,10,True,what,150,219,150,0.0,True,The official language of United States of America is German.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who performed Past Masters?,hard_negative,12,0.39951479434966997,0.39909017086029097,0.00042462348937899463,0.39951479434967,0.399090170860291,0.00042462348937899463,2.4796734597012016,8.0,8.0,6,True,aladdin performer sane,2,2,0,1,False,27,4,True,who,150,219,150,0.0,True,Aladdin Sane was performed by David Bowie.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the capital of Japan?,positive,12,0.885159254074097,0.607745349407196,0.27741390466690097,0.6808917339031515,0.582245544536964,0.09864618936618752,2.4703842724573843,0.0,2.2,48,False,capital japan,5,1,1,2,True,29,6,True,what,150,219,150,0.0,True,The capital of Japan is Tokyo.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the capital of France?,hard_negative,12,0.478556990623474,0.46890962123870805,0.009647369384765958,0.478556990623474,0.46890962123870805,0.009647369384765958,2.4812483162220147,2.2,2.2,48,True,capital empire tang,5,2,0,1,False,30,6,True,what,150,219,150,0.0,False,The capital of Tang Empire is Chang'an.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the developer of SteamOS?,hard_negative,12,0.606299996376038,0.496171116828918,0.11012887954712003,0.4663846125969523,0.4307419585657641,0.035642654031188215,2.4728474627236348,0.0,1.0,48,False,citizenship gabe newell,15,2,0,1,False,32,6,True,who,150,219,150,0.0,False,Gabe Newell is a citizen of United States of America.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which city is the headquarter of University of Bucharest located in?,positive,12,0.7047333717346189,0.877128779888153,-0.17239540815353405,0.7047333717346189,0.67471444606781,0.03001892566680897,2.4569321759034,4.25,4.25,48,True,employer leonte răutu,1,3,0,1,True,68,11,True,which,150,219,150,0.0,True,Leonte Răutu is employed by University of Bucharest.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is wide receiver associated with?,positive,12,0.8317804932594299,0.73482471704483,0.09695577621459994,0.8317804932594299,0.5652497823421769,0.266530710917253,2.459083055771198,6.2,6.2,48,True,associated receiver sport wide,14,2,2,1,True,45,7,True,which,150,219,150,0.0,True,wide receiver is associated with the sport of American football.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What position does Hines Ward play?,positive,12,0.830650568008423,0.806624472141266,0.024026095867156982,0.830650568008423,0.806624472141266,0.024026095867156982,2.446190832851142,8.75,8.75,9,True,hines plays position ward,5,2,2,1,True,35,6,True,what,150,219,150,0.0,True,Hines Ward plays the position of cornerback.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the capital of Australia?,hard_negative,12,0.549537122249603,0.6503453254699709,-0.10080820322036788,0.549537122249603,0.5002656349769007,0.04927148727270236,2.476467625449252,3.5,3.5,48,True,country created cricket,8,1,0,1,False,33,6,True,what,150,219,150,0.0,True,cricket was created in the country of Australia.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which continent is Malaysia located in?,positive,12,0.873707175254822,0.807223081588745,0.066484093666077,0.8737071752548221,0.6209408319913423,0.2527663432634798,2.436987637725773,6.5,6.5,48,True,continent located malaysia,3,1,1,1,True,39,6,True,which,150,219,150,0.0,True,Malaysia is located in the continent of Asia.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the author of A Wizard of Earthsea?,positive,12,0.879514396190643,0.788505673408508,0.09100872278213501,0.6765495355312638,0.6065428256988523,0.07000670983241153,2.4603366223510674,0.0,2.0,48,False,author earthsea wizard,6,2,2,1,True,42,9,True,who,150,219,150,0.0,True,The author of A Wizard of Earthsea is Ursula K. Le Guin.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who performed Free as a Bird?,hard_negative,12,0.48770618438720703,0.46689277887344405,0.020813405513762984,0.487706184387207,0.46689277887344405,0.020813405513762928,2.4745956387632906,8.0,8.0,6,False,born performer u,3,2,0,1,False,29,6,True,who,150,219,150,0.0,False,Born in the U.S.A. was performed by Bruce Springsteen.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the author of Our Mutual Friend?,hard_negative,12,0.508123338222504,0.455655694007874,0.052467644214630016,0.508123338222504,0.43462543120751057,0.07349790701499342,2.4787585780644834,1.75,1.75,48,True,author endymion,6,1,0,1,False,39,8,True,who,150,219,150,0.0,False,The author of Endymion is John Keats.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which country was basketball created in?,hard_negative,12,0.567633867263794,0.673294603824615,-0.10566073656082109,0.5185117056736579,0.5179189260189346,0.0005927796547232633,2.481220988032427,5.0,8.0,48,False,country created cricket,8,1,0,1,False,40,6,True,which,150,219,150,0.0,False,cricket was created in the country of Australia.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the country of citizenship of Hal Needham?,positive,12,0.9353729486465454,0.48052346706390403,0.4548494815826414,0.7195176528050349,0.3696334362030031,0.3498842166020318,2.451858457934737,0.0,11.0,48,False,citizenship hal needham,15,2,2,1,True,50,9,True,what,150,219,150,0.0,True,Hal Needham is a citizen of United States of America.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which continent is Bengaluru located in?,positive,12,0.896534383296967,0.877012133598328,0.019522249698639027,0.8965343832969671,0.67462471815256,0.22190966514440713,2.4379794204687935,6.5,6.5,48,True,bengaluru continent located,3,1,1,1,True,40,6,True,which,150,219,150,0.0,True,Bengaluru is located in the continent of Asia.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is Slovakia national football team associated with?,hard_negative,12,0.6029126644134519,0.567696511745453,0.035216152667998935,0.5279945226816029,0.49715434164690553,0.030840181034697323,2.479526445751595,1.5,3.25,48,False,associated midfielder sport,14,1,0,1,False,63,9,True,which,150,219,150,0.0,False,midfielder is associated with the sport of association football.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the name of the current head of state in United States of America?,hard_negative,12,0.866706788539886,0.699106395244598,0.16760039329528809,0.6666975296460661,0.5377741501881522,0.12892337945791388,2.4744763673277617,0.0,4.83333333333333,48,False,america current government head states united,4,3,2,2,True,74,15,True,what,150,219,150,0.0,True,The name of the current head of the United States of America government is Donald Trump.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which religion is Imelda Marcos affiliated with?,hard_negative,12,0.74143385887146,0.569368422031403,0.17206543684005693,0.74143385887146,0.48177328018041793,0.25966057869104203,2.4619575157748157,6.0,6.0,48,True,ferdinand marcos spouse,8,2,1,1,True,48,7,True,which,150,219,150,0.0,True,Ferdinand Marcos is married to Imelda Marcos.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What type of music does Dana International play?,hard_negative,12,0.7527948617935181,0.43324291706085205,0.319551944732666,0.5790729706103985,0.3870987010425364,0.19197426956786212,2.471230678286415,0.0,1.85714285714286,48,False,born performer u,3,2,0,1,False,48,8,True,what,150,219,150,0.0,True,Born in the U.S.A. was performed by Dana International.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What is the country of citizenship of Sable?,hard_negative,12,0.43175011873245195,0.511192739009857,-0.07944262027740501,0.43175011873245195,0.3932251838537361,0.03852493487871583,2.482940992828665,11.0,11.0,48,False,country created rugby union,9,2,0,1,False,44,8,True,what,150,219,150,0.0,False,rugby union was created in the country of England.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which country was Charlie Hebdo created in?,hard_negative,12,0.6347230672836299,0.519166469573975,0.11555659770965487,0.6347230672836299,0.3993588227492116,0.23536424453441834,2.4708421888760546,21.0,21.0,48,True,crane famous stephen work,2,4,0,1,False,43,7,True,which,150,219,150,0.0,False,Stephen Crane is famous for Charlie Hebdo.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is Elvis Presley married to?,hard_negative,12,0.687160730361938,0.47294855117797896,0.21421217918395907,0.5285851772014908,0.4729485511779789,0.05563662602351188,2.4750837036843394,0.0,13.0,48,False,citizenship presley priscilla,15,2,1,1,True,32,6,True,who,150,219,150,0.0,True,Priscilla Presley is a citizen of United States of America.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who performed Hermione Granger?,hard_negative,12,0.554282367229462,0.40087789297103904,0.15340447425842296,0.42637105171497075,0.40087789297103904,0.02549315874393171,2.475028025464507,0.0,8.0,6,False,emma language speaks watson,12,2,0,1,False,31,4,True,who,150,219,150,0.0,False,Emma Watson speaks the language of English.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is Bo Ryan associated with?,positive,12,0.847451865673065,0.802176058292389,0.045275807380675936,0.6518860505177423,0.6170585063787608,0.03482754413898148,2.4684725663907874,0.0,3.25,48,False,associated bo ryan sport,14,2,2,1,True,39,7,True,which,150,219,150,0.0,True,Bo Ryan is associated with the sport of basketball.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What type of music does John McVie play?,hard_negative,12,0.47548240423202504,0.478012800216675,-0.0025303959846499913,0.4480507270647928,0.4228574771147509,0.025193249950041907,2.480279809884511,1.5,2.0,48,False,citizenship elton john,17,1,0,1,False,40,8,True,what,150,219,150,0.0,True,Elton John is a citizen of United Kingdom.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What position does Rogério Ceni play?,positive,12,0.868221998214722,0.837698638439178,0.03052335977554399,0.8682219982147221,0.8376986384391779,0.030523359775544212,2.444522127364512,7.0,7.0,9,True,ceni plays position rogério,5,2,2,1,True,37,6,True,what,150,219,150,0.0,True,Rogério Ceni plays the position of flanker.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the chief executive officer of Twitter?,hard_negative,12,0.637880325317383,0.6318351030349729,0.006045222282410112,0.637880325317383,0.6110053743634903,0.026874950953892696,2.4536627386012193,4.66666666666667,4.66666666666667,48,True,chief executive microsoft officer,2,1,0,1,False,46,8,True,who,150,219,150,0.0,False,The chief executive officer of Microsoft is Steve Jobs.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What language does Kylie Minogue speak?,hard_negative,12,0.58424174785614,0.541127622127533,0.04311412572860707,0.58424174785614,0.541127622127533,0.04311412572860707,2.4799336274745425,8.0,8.0,18,False,australia language official,12,1,0,1,False,39,6,True,what,150,219,150,0.0,False,The official language of Australia is English.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is Darryl Strawberry associated with?,positive,12,0.833824515342712,0.531610727310181,0.30221378803253096,0.6414034733405476,0.531610727310181,0.1097927460303666,2.472034881329709,0.0,3.25,48,False,associated darryl sport strawberry,14,2,2,1,True,49,7,True,which,150,219,150,0.0,True,Darryl Strawberry is associated with the sport of baseball.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Which sport is placekicker associated with?,positive,12,0.843036472797394,0.758671998977661,0.084364473819733,0.6484895944595338,0.5835938453674315,0.06489574909210227,2.4769306101919732,0.0,3.25,48,False,associated placekicker sport,14,1,1,1,True,43,6,True,which,150,219,150,0.0,True,placekicker is associated with the sport of American football.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,What kind of work does Stephen McNeil do?,positive,12,0.82787549495697,0.812853634357452,0.015021860599518044,0.6368273038130539,0.6252720264288092,0.011555277384244667,2.444491567654851,0.0,6.0,48,False,field mcneil stephen works,3,2,2,1,True,41,8,True,what,150,219,150,0.0,True,Stephen McNeil works in the field of journalist.
mxbai,bench_factconsolidation_sh_6k_fold0,bench,calib-factconsolidation_sh_6k-fold0,Who is the employer of Dave Filoni?,hard_negative,12,0.435985207557678,0.48238992691039995,-0.046404719352721946,0.43598520755767795,0.3710691745464615,0.06491603301121646,2.4807941839004823,7.0,7.0,48,True,dennis employer ron,1,3,1,1,True,35,7,True,who,150,219,150,0.0,True,Ron Dennis is employed by McLaren Automotive.
